Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone,lat,lng
101,Abel,138.0,PV,108.0,22.0,1.04777,-7.74152,0.0,0.0,1,11.0,11.0,33.3961032628,-113.835641977
102,Adams,138.0,PV,97.0,20.0,1.04783,-7.81784,0.0,0.0,1,11.0,12.0,33.3576784424,-113.825933492
103,Adler,138.0,PQ,180.0,37.0,1.01085,-7.2109,0.0,0.0,1,11.0,11.0,33.5368328224,-114.670399127
104,Agricola,138.0,PQ,74.0,15.0,1.01765,-10.56614,0.0,0.0,1,11.0,11.0,33.8123035235,-113.825419052
105,Aiken,138.0,PQ,71.0,14.0,1.03568,-10.70887,0.0,0.0,1,11.0,11.0,33.6595598392,-113.999023095
106,Alber,138.0,PQ,136.0,28.0,1.03242,-13.27944,0.0,-100.0,1,11.0,12.0,33.7380364461,-114.181924176
107,Alder,138.0,PV,125.0,25.0,1.03745,-11.27673,0.0,0.0,1,11.0,12.0,34.6972619565,-113.701308807
108,Alger,138.0,PQ,171.0,35.0,1.01024,-13.74967,0.0,0.0,1,11.0,12.0,34.4592107958,-113.761643582
109,Ali,138.0,PQ,175.0,36.0,1.0261,-8.81524,0.0,0.0,1,11.0,13.0,33.9204362729,-114.308280962
110,Allen,138.0,PQ,195.0,40.0,1.05,-10.62063,0.0,0.0,1,11.0,13.0,33.91279307,-114.292964553
111,Anna,230.0,PQ,0.0,0.0,1.02764,-3.91674,0.0,0.0,1,11.0,13.0,33.9043860736,-114.301117722
112,Archer,230.0,PQ,0.0,0.0,1.02024,-2.42424,0.0,0.0,1,11.0,13.0,33.9108660143,-114.313402427
113,Arne,230.0,Ref,265.0,54.0,1.03943,0.0,0.0,0.0,1,12.0,14.0,34.3542803354,-114.274656952
114,Arnold,230.0,PV,194.0,39.0,1.04401,-1.73056,0.0,0.0,1,12.0,16.0,33.7770860921,-114.819911267
115,Arthur,230.0,PV,317.0,64.0,1.04335,7.9597,0.0,0.0,1,12.0,16.0,33.5061837182,-115.329508431
116,Asser,230.0,PV,100.0,20.0,1.04565,7.56929,0.0,0.0,1,12.0,16.0,33.661031241,-115.321058013
117,Aston,230.0,PQ,0.0,0.0,1.04783,11.43417,0.0,0.0,1,12.0,17.0,33.5752325484,-115.640808726
118,Astor,230.0,PV,333.0,68.0,1.05,12.52457,0.0,0.0,1,12.0,17.0,33.5445308225,-115.799955998
119,Attar,230.0,PQ,181.0,37.0,1.03962,6.65777,0.0,0.0,1,12.0,15.0,33.8690789137,-115.369130552
120,Attila,230.0,PQ,128.0,26.0,1.04399,7.7406,0.0,0.0,1,12.0,15.0,34.2445785929,-115.262469926
121,Attlee,230.0,PV,0.0,0.0,1.05,13.08653,0.0,0.0,1,12.0,17.0,33.5271214704,-116.070777995
122,Aubrey,230.0,PV,0.0,0.0,1.05,18.94978,0.0,0.0,1,12.0,17.0,32.8188640659,-116.324347339
123,Austen,230.0,PV,0.0,0.0,1.05,9.05617,0.0,0.0,1,12.0,15.0,34.382000271,-115.068788423
124,Avery,230.0,PQ,0.0,0.0,1.01155,2.38339,0.0,0.0,1,12.0,16.0,33.5429650607,-114.656488278
201,Bach,138.0,PV,108.0,22.0,1.04841,-10.68973,0.0,0.0,2,21.0,21.0,36.2556635986,-113.721495941
202,Bacon,138.0,PV,97.0,20.0,1.04844,-10.75906,0.0,0.0,2,21.0,22.0,36.2899625624,-113.745998474
203,Baffin,138.0,PQ,180.0,37.0,1.01886,-10.47453,0.0,0.0,2,21.0,21.0,35.3544022625,-113.975933629
204,Bailey,138.0,PQ,74.0,15.0,1.0189,-13.48479,0.0,0.0,2,21.0,21.0,36.1902923135,-114.221868153
