bus2,bus3,bus4
908.2773922,1106.41791,1274.834854
907.9531232,1108.656716,1268.111041
906.3317784,1110,1263.6285
905.3589714,1109.104478,1257.801195
907.6288542,1105.522388,1250.629129
906.0075094,1104.626866,1247.939604
906.3317784,1101.044776,1238.97452
905.0347025,1098.80597,1233.59547
905.3589714,1094.328358,1227.319912
904.7104335,1092.985075,1221.492608
905.0347025,1089.850746,1214.768795
904.0618956,1085.373134,1211.631016
903.0890886,1078.208955,1216.561812
903.4133576,1078.656716,1211.182762
905.0347025,1081.343284,1201.32117
904.0618956,1080.895522,1193.252595
904.0618956,1080.447761,1191.011324
904.0618956,1081.343284,1181.597987
907.3045853,1082.686567,1183.391003
907.6288542,1081.343284,1176.667191
909.5744681,1084.029851,1174.42592
909.8987371,1084.029851,1172.632903
910.871544,1080.895522,1165.012583
910.871544,1076.41791,1160.081787
910.547275,1075.074627,1173.081158
915.4113096,1075.970149,1175.770683
916.7083855,1074.179104,1169.495124
919.9510752,1076.41791,1165.012583
918.9782683,1077.313433,1164.116074
919.3025373,1079.552239,1159.185278
920.9238821,1079.552239,1159.633533
922.545227,1080.895522,1153.806228
926.4364547,1080.895522,1148.875433
927.0849926,1080.895522,1147.978924
926.1121857,1079.552239,1148.427178
930.9762203,1073.283582,1145.289399
931.9490272,1068.80597,1147.082416
933.894641,1067.462687,1148.427178
937.4615997,1067.910448,1147.082416
940.7042895,1069.701493,1144.392891
944.9197861,1072.835821,1145.289399
948.1624758,1075.970149,1139.910349
951.7294345,1081.343284,1141.703366
957.890545,1082.238806,1142.15162
961.7817727,1082.686567,1140.358603
968.2671521,1083.58209,1140.806858
977.0224144,1082.686567,1142.599874
982.2107179,1081.791045,1142.15162
995.5057458,1084.477612,1137.220824
1004.909546,1085.820896,1141.255112
1013.01627,1086.268657,1143.496383
1020.798726,1089.402985,1147.53067
1029.553988,1092.089552,1148.427178
1040.254864,1093.432836,1149.323687
1049.658664,1097.910448,1157.392262
1063.926499,1100.149254,1163.219566
1073.00603,1103.731343,1165.909091
1084.355444,1108.208955,1171.736395
1097.650472,1110.447761,1179.356716
