Year,Month,Day,Period,HydroDispatch1,HydroDispatch2,HydroDispatch3
2020,1,1,1,4.2,4.2,4.2
2020,1,1,2,3.8,3.8,3.8
2020,1,1,3,3.8,3.8,3.8
2020,1,1,4,4.2,4.2,4.2
2020,1,1,5,3.8,3.8,3.8
2020,1,1,6,3.8,3.8,3.8
2020,1,1,7,4.2,4.2,4.2
2020,1,1,8,3.8,3.8,3.8
2020,1,1,9,3.8,3.8,3.8
2020,1,1,10,3.8,3.8,3.8
2020,1,1,11,3.8,3.8,3.8
2020,1,1,12,3.8,3.8,3.8
2020,1,1,13,3.8,3.8,3.8
2020,1,1,14,4.2,4.2,4.2
2020,1,1,15,4.2,4.2,4.2
2020,1,1,16,13.2,13.2,13.2
2020,1,1,17,12.7,12.7,12.7
2020,1,1,18,13.2,13.2,13.2
2020,1,1,19,9,9,9
2020,1,1,20,4.2,4.2,4.2
2020,1,1,21,3.8,3.8,3.8
2020,1,1,22,3.8,3.8,3.8
2020,1,1,23,3.8,3.8,3.8
2020,1,1,24,3.8,3.8,3.8
2020,1,2,1,2.8,2.8,2.8
2020,1,2,2,2.8,2.8,2.8
2020,1,2,3,2.8,2.8,2.8
2020,1,2,4,2.8,2.8,2.8
2020,1,2,5,2.8,2.8,2.8
2020,1,2,6,2.8,2.8,2.8
2020,1,2,7,3.3,3.3,3.3
2020,1,2,8,2.4,2.4,2.4
2020,1,2,9,3.3,3.3,3.3
2020,1,2,10,2.4,2.4,2.4
2020,1,2,11,2.8,2.8,2.8
2020,1,2,12,2.8,2.8,2.8
2020,1,2,13,2.8,2.8,2.8
2020,1,2,14,2.8,2.8,2.8
2020,1,2,15,2.8,2.8,2.8
2020,1,2,16,3.3,3.3,3.3
2020,1,2,17,3.3,3.3,3.3
2020,1,2,18,3.3,3.3,3.3
2020,1,2,19,3.8,3.8,3.8
2020,1,2,20,3.8,3.8,3.8
2020,1,2,21,4.2,4.2,4.2
2020,1,2,22,4.7,4.7,4.7
2020,1,2,23,4.7,4.7,4.7
2020,1,2,24,4.7,4.7,4.7
2020,1,3,1,3.8,3.8,3.8
2020,1,3,2,3.3,3.3,3.3
2020,1,3,3,2.8,2.8,2.8
2020,1,3,4,3.3,3.3,3.3
2020,1,3,5,3.3,3.3,3.3
2020,1,3,6,3.3,3.3,3.3
2020,1,3,7,3.3,3.3,3.3
2020,1,3,8,3.3,3.3,3.3
2020,1,3,9,3.3,3.3,3.3
2020,1,3,10,3.3,3.3,3.3
2020,1,3,11,3.8,3.8,3.8
2020,1,3,12,3.3,3.3,3.3
2020,1,3,13,3.3,3.3,3.3
2020,1,3,14,3.3,3.3,3.3
2020,1,3,15,3.3,3.3,3.3
2020,1,3,16,3.3,3.3,3.3
2020,1,3,17,3.3,3.3,3.3
2020,1,3,18,3.3,3.3,3.3
2020,1,3,19,3.8,3.8,3.8
2020,1,3,20,3.3,3.3,3.3
2020,1,3,21,3.8,3.8,3.8
2020,1,3,22,4.2,4.2,4.2
2020,1,3,23,3.8,3.8,3.8
2020,1,3,24,3.8,3.8,3.8
