Year,Month,Day,Period,WindBusA
2020,1,1,1,142.8
2020,1,1,2,139.1
2020,1,1,3,145.3
2020,1,1,4,144.8
2020,1,1,5,137.1
2020,1,1,6,98.6
2020,1,1,7,62.2
2020,1,1,8,47.3
2020,1,1,9,48.9
2020,1,1,10,30.7
2020,1,1,11,27.4
2020,1,1,12,60.9
2020,1,1,13,20.4
2020,1,1,14,1.6
2020,1,1,15,0
2020,1,1,16,2.6
2020,1,1,17,37.9
2020,1,1,18,46.9
2020,1,1,19,24
2020,1,1,20,24
2020,1,1,21,27.4
2020,1,1,22,6.5
2020,1,1,23,1.3
2020,1,1,24,0.1
2020,1,2,1,0.8
2020,1,2,2,2.7
2020,1,2,3,11.4
2020,1,2,4,18.3
2020,1,2,5,23.6
2020,1,2,6,24.6
2020,1,2,7,10.3
2020,1,2,8,5.6
2020,1,2,9,3.7
2020,1,2,10,0.8
2020,1,2,11,0
2020,1,2,12,0
2020,1,2,13,0
2020,1,2,14,0
2020,1,2,15,0
2020,1,2,16,0
2020,1,2,17,0.6
2020,1,2,18,1.4
2020,1,2,19,24.8
2020,1,2,20,25.3
2020,1,2,21,13.2
2020,1,2,22,10
2020,1,2,23,35.7
2020,1,2,24,51.7
2020,1,3,1,26.7
2020,1,3,2,82.8
2020,1,3,3,98.4
2020,1,3,4,132.4
2020,1,3,5,80
2020,1,3,6,108.9
2020,1,3,7,107.8
2020,1,3,8,106.7
2020,1,3,9,116.3
2020,1,3,10,83
2020,1,3,11,65
2020,1,3,12,114.7
2020,1,3,13,58.8
2020,1,3,14,86.1
2020,1,3,15,82.9
2020,1,3,16,72.8
2020,1,3,17,73.1
2020,1,3,18,79
2020,1,3,19,96.5
2020,1,3,20,92.5
2020,1,3,21,118.7
2020,1,3,22,113.8
2020,1,3,23,120.2
2020,1,3,24,79.7
2020,1,4,1,28.5
2020,1,4,2,30.6
2020,1,4,3,23.6
2020,1,4,4,46.9
2020,1,4,5,41.4
2020,1,4,6,23.1
2020,1,4,7,18.8
2020,1,4,8,20.6
2020,1,4,9,2.6
2020,1,4,10,0
2020,1,4,11,0
2020,1,4,12,0
2020,1,4,13,4.9
2020,1,4,14,60.3
2020,1,4,15,65
2020,1,4,16,76.6
2020,1,4,17,37.9
2020,1,4,18,37.8
2020,1,4,19,105.5
2020,1,4,20,137.3
2020,1,4,21,142.9
2020,1,4,22,147
2020,1,4,23,147
2020,1,4,24,147.4
2020,1,5,1,146.8
2020,1,5,2,147
2020,1,5,3,147.6
2020,1,5,4,146.6
2020,1,5,5,147.5
2020,1,5,6,147.2
2020,1,5,7,147.1
2020,1,5,8,146.6
2020,1,5,9,145.5
2020,1,5,10,146.2
2020,1,5,11,140.3
2020,1,5,12,101.9
2020,1,5,13,78.4
2020,1,5,14,70.4
2020,1,5,15,51.1
2020,1,5,16,53.6
2020,1,5,17,44.2
2020,1,5,18,83.6
2020,1,5,19,77.5
2020,1,5,20,66.9
2020,1,5,21,20.7
2020,1,5,22,14.5
2020,1,5,23,39
2020,1,5,24,86.6
2020,1,6,1,104
2020,1,6,2,117.3
2020,1,6,3,130
2020,1,6,4,135.1
2020,1,6,5,123.1
2020,1,6,6,104.4
2020,1,6,7,96.5
2020,1,6,8,94.5
2020,1,6,9,100.3
2020,1,6,10,132.4
2020,1,6,11,145.3
2020,1,6,12,143.2
2020,1,6,13,136
2020,1,6,14,123.1
2020,1,6,15,130.7
2020,1,6,16,143.2
2020,1,6,17,130.1
2020,1,6,18,137.2
2020,1,6,19,128
2020,1,6,20,137.8
2020,1,6,21,134.8
2020,1,6,22,145
2020,1,6,23,147.6
2020,1,6,24,148.1
2020,1,7,1,148
2020,1,7,2,147.7
2020,1,7,3,147
2020,1,7,4,146.9
2020,1,7,5,146.4
2020,1,7,6,145.5
2020,1,7,7,147.1
2020,1,7,8,147.2
2020,1,7,9,148
2020,1,7,10,147.6
2020,1,7,11,138.5
2020,1,7,12,142.4
2020,1,7,13,146.8
2020,1,7,14,146.2
2020,1,7,15,144.1
2020,1,7,16,146.2
2020,1,7,17,146.6
2020,1,7,18,140.9
2020,1,7,19,147.2
2020,1,7,20,145.7
2020,1,7,21,146.1
2020,1,7,22,137.1
2020,1,7,23,142.1
2020,1,7,24,145.3
2020,1,8,1,133.1
2020,1,8,2,99.3
2020,1,8,3,69.1
2020,1,8,4,93.1
2020,1,8,5,100.6
2020,1,8,6,107.2
2020,1,8,7,141
2020,1,8,8,148
2020,1,8,9,148.2
2020,1,8,10,148.3
2020,1,8,11,148.3
2020,1,8,12,145.1
2020,1,8,13,145.7
2020,1,8,14,146
2020,1,8,15,147.1
2020,1,8,16,146.5
2020,1,8,17,147
2020,1,8,18,147.8
2020,1,8,19,147.7
2020,1,8,20,147.2
2020,1,8,21,145.2
2020,1,8,22,145.4
2020,1,8,23,146.8
2020,1,8,24,147
2020,1,9,1,146.8
2020,1,9,2,146.2
2020,1,9,3,147.8
2020,1,9,4,147.6
2020,1,9,5,147.3
2020,1,9,6,147
2020,1,9,7,147.2
2020,1,9,8,147.4
2020,1,9,9,146.5
2020,1,9,10,144.6
2020,1,9,11,126.8
2020,1,9,12,81.3
2020,1,9,13,44.3
2020,1,9,14,27.4
2020,1,9,15,10.8
2020,1,9,16,5.2
2020,1,9,17,9.2
2020,1,9,18,14.1
2020,1,9,19,30.3
2020,1,9,20,63.6
2020,1,9,21,82.9
2020,1,9,22,117.2
2020,1,9,23,112.7
2020,1,9,24,122.2
2020,1,10,1,112.5
2020,1,10,2,87
2020,1,10,3,101.8
2020,1,10,4,101.7
2020,1,10,5,79.5
2020,1,10,6,46.3
2020,1,10,7,28.5
2020,1,10,8,52.1
2020,1,10,9,87.9
2020,1,10,10,92
2020,1,10,11,86.3
2020,1,10,12,75.2
2020,1,10,13,75.7
2020,1,10,14,90.4
2020,1,10,15,110.7
2020,1,10,16,93.5
2020,1,10,17,77.5
2020,1,10,18,0
2020,1,10,19,0
2020,1,10,20,12.5
2020,1,10,21,52.5
2020,1,10,22,35
2020,1,10,23,55.3
2020,1,10,24,58.4
2020,1,11,1,29.5
2020,1,11,2,19
2020,1,11,3,15.7
2020,1,11,4,41.5
2020,1,11,5,42.4
2020,1,11,6,31.8
2020,1,11,7,14
2020,1,11,8,8.7
2020,1,11,9,6.7
2020,1,11,10,3.3
2020,1,11,11,0
2020,1,11,12,13.8
2020,1,11,13,47.8
2020,1,11,14,70.4
2020,1,11,15,105.6
2020,1,11,16,111.2
2020,1,11,17,133.1
2020,1,11,18,102
2020,1,11,19,37.7
2020,1,11,20,25.5
2020,1,11,21,14.6
2020,1,11,22,55.3
2020,1,11,23,34.7
2020,1,11,24,50.3
2020,1,12,1,71.6
2020,1,12,2,63.8
2020,1,12,3,73.8
2020,1,12,4,81.2
2020,1,12,5,74.2
2020,1,12,6,78.9
