Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,142.8,795.1,480.8,713.2
2020,1,1,2,139.1,794.4,634.9,712.8
2020,1,1,3,145.3,773.6,487.3,708.4
2020,1,1,4,144.8,767.3,432.7,710.7
2020,1,1,5,137.1,752.2,407.9,701.4
2020,1,1,6,98.6,719.4,440.2,682.5
2020,1,1,7,62.2,655.3,377.3,614.7
2020,1,1,8,47.3,594.6,199.3,517.7
2020,1,1,9,48.9,579.1,110.6,426.6
2020,1,1,10,30.7,466.8,3.6,274.2
2020,1,1,11,27.4,301.4,2.4,93
2020,1,1,12,60.9,110.7,56.2,6.3
2020,1,1,13,20.4,78.9,91.5,3.8
2020,1,1,14,1.6,107.9,103,1.1
2020,1,1,15,0,22.3,39.7,0
2020,1,1,16,2.6,24.6,87.7,0
2020,1,1,17,37.9,10.8,92.3,0.9
2020,1,1,18,46.9,243.2,89.4,276.3
2020,1,1,19,24,375.2,90.4,272.9
2020,1,1,20,24,568.4,81.1,345.6
2020,1,1,21,27.4,636.1,172.9,411.7
2020,1,1,22,6.5,719.2,326.9,376.6
2020,1,1,23,1.3,734.9,256.7,561.3
2020,1,1,24,0.1,729.1,141.1,568.4
