Year,Month,Day,Period,1,2,3
2020,1,1,1,908.2773922,1106.41791,1274.834854
2020,1,1,2,907.9531232,1108.656716,1268.111041
2020,1,1,3,906.3317784,1110,1263.6285
2020,1,1,4,905.3589714,1109.104478,1257.801195
2020,1,1,5,907.6288542,1105.522388,1250.629129
2020,1,1,6,906.0075094,1104.626866,1247.939604
2020,1,1,7,906.3317784,1101.044776,1238.97452
2020,1,1,8,905.0347025,1098.80597,1233.59547
2020,1,1,9,905.3589714,1094.328358,1227.319912
2020,1,1,10,904.7104335,1092.985075,1221.492608
2020,1,1,11,905.0347025,1089.850746,1214.768795
2020,1,1,12,904.0618956,1085.373134,1211.631016
2020,1,1,13,903.0890886,1078.208955,1216.561812
2020,1,1,14,903.4133576,1078.656716,1211.182762
2020,1,1,15,905.0347025,1081.343284,1201.32117
2020,1,1,16,904.0618956,1080.895522,1193.252595
2020,1,1,17,904.0618956,1080.447761,1191.011324
2020,1,1,18,904.0618956,1081.343284,1181.597987
2020,1,1,19,907.3045853,1082.686567,1183.391003
2020,1,1,20,907.6288542,1081.343284,1176.667191
2020,1,1,21,909.5744681,1084.029851,1174.42592
2020,1,1,22,909.8987371,1084.029851,1172.632903
2020,1,1,23,910.871544,1080.895522,1165.012583
2020,1,1,24,910.871544,1076.41791,1160.081787
2020,1,1,25,910.547275,1075.074627,1173.081158
2020,1,1,26,915.4113096,1075.970149,1175.770683
2020,1,1,27,916.7083855,1074.179104,1169.495124
2020,1,1,28,919.9510752,1076.41791,1165.012583
2020,1,1,29,918.9782683,1077.313433,1164.116074
2020,1,1,30,919.3025373,1079.552239,1159.185278
2020,1,1,31,920.9238821,1079.552239,1159.633533
2020,1,1,32,922.545227,1080.895522,1153.806228
2020,1,1,33,926.4364547,1080.895522,1148.875433
2020,1,1,34,927.0849926,1080.895522,1147.978924
2020,1,1,35,926.1121857,1079.552239,1148.427178
2020,1,1,36,930.9762203,1073.283582,1145.289399
2020,1,1,37,931.9490272,1068.80597,1147.082416
2020,1,1,38,933.894641,1067.462687,1148.427178
2020,1,1,39,937.4615997,1067.910448,1147.082416
2020,1,1,40,940.7042895,1069.701493,1144.392891
2020,1,1,41,944.9197861,1072.835821,1145.289399
2020,1,1,42,948.1624758,1075.970149,1139.910349
2020,1,1,43,951.7294345,1081.343284,1141.703366
2020,1,1,44,957.890545,1082.238806,1142.15162
2020,1,1,45,961.7817727,1082.686567,1140.358603
2020,1,1,46,968.2671521,1083.58209,1140.806858
2020,1,1,47,977.0224144,1082.686567,1142.599874
2020,1,1,48,982.2107179,1081.791045,1142.15162
2020,1,1,49,995.5057458,1084.477612,1137.220824
2020,1,1,50,1004.909546,1085.820896,1141.255112
2020,1,1,51,1013.01627,1086.268657,1143.496383
2020,1,1,52,1020.798726,1089.402985,1147.53067
2020,1,1,53,1029.553988,1092.089552,1148.427178
2020,1,1,54,1040.254864,1093.432836,1149.323687
2020,1,1,55,1049.658664,1097.910448,1157.392262
2020,1,1,56,1063.926499,1100.149254,1163.219566
2020,1,1,57,1073.00603,1103.731343,1165.909091
2020,1,1,58,1084.355444,1108.208955,1171.736395
2020,1,1,59,1097.650472,1110.447761,1179.356716
2020,1,1,60,1108.027079,1112.238806,1184.287512
2020,1,1,61,1131.050176,1118.059701,1161.426549
2020,1,1,62,1143.696666,1123.432836,1172.632903
2020,1,1,63,1153.100466,1131.044776,1183.391003
2020,1,1,64,1165.746956,1136.41791,1191.011324
2020,1,1,65,1173.205143,1143.134328,1204.010695
2020,1,1,66,1182.933212,1148.059701,1212.07927
2020,1,1,67,1192.337012,1153.880597,1223.733879
2020,1,1,68,1201.092274,1165.970149,1236.284995
2020,1,1,69,1203.037888,1172.238806,1249.284366
2020,1,1,70,1213.414495,1179.402985,1262.283737
2020,1,1,71,1216.657185,1182.537313,1276.62787
2020,1,1,72,1226.385254,1192.38806,1295.454545
2020,1,1,73,1231.573558,1205.373134,1300.833595
2020,1,1,74,1237.734668,1214.776119,1312.488204
2020,1,1,75,1242.274434,1222.38806,1329.970116
2020,1,1,76,1249.408351,1226.41791,1341.624725
2020,1,1,77,1243.247241,1230,1349.245046
2020,1,1,78,1239.031744,1235.820896,1360.003146
2020,1,1,79,1239.680282,1239.850746,1369.864737
2020,1,1,80,1240.004551,1240.746269,1378.829821
2020,1,1,81,1238.383206,1241.19403,1385.105379
2020,1,1,82,1238.383206,1239.850746,1391.380937
2020,1,1,83,1234.816248,1238.059701,1400.346021
2020,1,1,84,1233.843441,1236.268657,1405.725071
2020,1,1,85,1228.655137,1228.208955,1412.448883
2020,1,1,86,1229.952213,1225.522388,1421.862221
2020,1,1,87,1226.385254,1225.970149,1428.137779
2020,1,1,88,1217.954261,1226.41791,1435.7581
2020,1,1,89,1211.468882,1227.313433,1438.895879
2020,1,1,90,1207.253385,1225.074627,1448.757471
2020,1,1,91,1196.22824,1224.626866,1455.929538
2020,1,1,92,1188.770053,1220.597015,1464.894621
2020,1,1,93,1183.906019,1214.328358,1474.756213
2020,1,1,94,1178.717715,1208.059701,1477.893992
2020,1,1,95,1172.556605,1199.552239,1482.376534
2020,1,1,96,1166.719763,1195.074627,1486.859075
2020,1,1,97,1157.964501,1200,1515.547342
2020,1,1,98,1156.018887,1196.41791,1522.719409
2020,1,1,99,1151.479122,1197.761194,1529.891475
2020,1,1,100,1145.64228,1200.447761,1540.201321
2020,1,1,101,1139.48117,1202.238806,1543.787355
2020,1,1,102,1135.914211,1203.58209,1553.200692
2020,1,1,103,1130.077369,1205.373134,1561.717521
2020,1,1,104,1126.83468,1207.61194,1572.027367
2020,1,1,105,1121.646376,1206.268657,1576.958163
2020,1,1,106,1115.809535,1200.895522,1587.268009
2020,1,1,107,1113.539652,1199.552239,1587.716263
2020,1,1,108,1109.324155,1201.343284,1596.233092
2020,1,1,109,1109.972693,1204.029851,1611.473734
2020,1,1,110,1101.217431,1207.164179,1616.40453
2020,1,1,111,1097.650472,1207.164179,1616.40453
2020,1,1,112,1095.704858,1204.925373,1622.680088
2020,1,1,113,1093.434976,1204.925373,1626.714376
2020,1,1,114,1090.840824,1209.850746,1628.059138
2020,1,1,115,1085.976789,1213.880597,1633.438188
2020,1,1,116,1085.65252,1212.537313,1633.886442
2020,1,1,117,1083.058368,1209.402985,1637.472476
2020,1,1,118,1078.194334,1208.507463,1638.368984
2020,1,1,119,1076.24872,1204.029851,1643.29978
2020,1,1,120,1073.00603,1199.104478,1645.092796
