Year,Month,Day,Period,HydroDispatch1,HydroDispatch2,HydroDispatch3
2020,1,1,1,4.2,4.2,4.2
2020,1,1,2,4.2,4.2,4.2
2020,1,1,3,4.2,4.2,4.2
2020,1,1,4,4.2,4.2,4.2
2020,1,1,5,4.2,4.2,4.2
2020,1,1,6,4.2,4.2,4.2
2020,1,1,7,4.2,4.2,4.2
2020,1,1,8,4.2,4.2,4.2
2020,1,1,9,4.2,4.2,4.2
2020,1,1,10,4.2,4.2,4.2
2020,1,1,11,4.2,4.2,4.2
2020,1,1,12,4.2,4.2,4.2
2020,1,1,13,4.167,4.167,4.167
2020,1,1,14,4.133,4.133,4.133
2020,1,1,15,4.1,4.1,4.1
2020,1,1,16,4.067,4.067,4.067
2020,1,1,17,4.033,4.033,4.033
2020,1,1,18,4,4,4
2020,1,1,19,3.967,3.967,3.967
2020,1,1,20,3.933,3.933,3.933
2020,1,1,21,3.9,3.9,3.9
2020,1,1,22,3.867,3.867,3.867
2020,1,1,23,3.833,3.833,3.833
2020,1,1,24,3.8,3.8,3.8
2020,1,1,25,3.8,3.8,3.8
2020,1,1,26,3.8,3.8,3.8
2020,1,1,27,3.8,3.8,3.8
2020,1,1,28,3.8,3.8,3.8
2020,1,1,29,3.8,3.8,3.8
2020,1,1,30,3.8,3.8,3.8
2020,1,1,31,3.8,3.8,3.8
2020,1,1,32,3.8,3.8,3.8
2020,1,1,33,3.8,3.8,3.8
2020,1,1,34,3.8,3.8,3.8
2020,1,1,35,3.8,3.8,3.8
2020,1,1,36,3.8,3.8,3.8
2020,1,1,37,3.833,3.833,3.833
2020,1,1,38,3.867,3.867,3.867
2020,1,1,39,3.9,3.9,3.9
2020,1,1,40,3.933,3.933,3.933
2020,1,1,41,3.967,3.967,3.967
2020,1,1,42,4,4,4
2020,1,1,43,4.033,4.033,4.033
2020,1,1,44,4.067,4.067,4.067
2020,1,1,45,4.1,4.1,4.1
2020,1,1,46,4.133,4.133,4.133
2020,1,1,47,4.167,4.167,4.167
2020,1,1,48,4.2,4.2,4.2
2020,1,1,49,4.167,4.167,4.167
2020,1,1,50,4.133,4.133,4.133
2020,1,1,51,4.1,4.1,4.1
2020,1,1,52,4.067,4.067,4.067
2020,1,1,53,4.033,4.033,4.033
2020,1,1,54,4,4,4
2020,1,1,55,3.967,3.967,3.967
2020,1,1,56,3.933,3.933,3.933
2020,1,1,57,3.9,3.9,3.9
2020,1,1,58,3.867,3.867,3.867
2020,1,1,59,3.833,3.833,3.833
2020,1,1,60,3.8,3.8,3.8
2020,1,1,61,3.8,3.8,3.8
2020,1,1,62,3.8,3.8,3.8
2020,1,1,63,3.8,3.8,3.8
2020,1,1,64,3.8,3.8,3.8
2020,1,1,65,3.8,3.8,3.8
2020,1,1,66,3.8,3.8,3.8
2020,1,1,67,3.8,3.8,3.8
2020,1,1,68,3.8,3.8,3.8
2020,1,1,69,3.8,3.8,3.8
2020,1,1,70,3.8,3.8,3.8
2020,1,1,71,3.8,3.8,3.8
2020,1,1,72,3.8,3.8,3.8
2020,1,1,73,3.833,3.833,3.833
2020,1,1,74,3.867,3.867,3.867
2020,1,1,75,3.9,3.9,3.9
2020,1,1,76,3.933,3.933,3.933
2020,1,1,77,3.967,3.967,3.967
2020,1,1,78,4,4,4
2020,1,1,79,4.033,4.033,4.033
2020,1,1,80,4.067,4.067,4.067
2020,1,1,81,4.1,4.1,4.1
2020,1,1,82,4.133,4.133,4.133
2020,1,1,83,4.167,4.167,4.167
2020,1,1,84,4.2,4.2,4.2
2020,1,1,85,4.167,4.167,4.167
2020,1,1,86,4.133,4.133,4.133
2020,1,1,87,4.1,4.1,4.1
2020,1,1,88,4.067,4.067,4.067
2020,1,1,89,4.033,4.033,4.033
2020,1,1,90,4,4,4
2020,1,1,91,3.967,3.967,3.967
2020,1,1,92,3.933,3.933,3.933
2020,1,1,93,3.9,3.9,3.9
2020,1,1,94,3.867,3.867,3.867
2020,1,1,95,3.833,3.833,3.833
2020,1,1,96,3.8,3.8,3.8
2020,1,1,97,3.8,3.8,3.8
2020,1,1,98,3.8,3.8,3.8
2020,1,1,99,3.8,3.8,3.8
